Sequence_Name,GenBank_Accn,Sequence_Length
Contig2989,PTTO01002179.1,12453
Contig299,PTTO01004166.1,1334452
Contig2990,PTTO01004075.1,10913
Contig2991,PTTO01003408.1,17374
Contig2992,PTTO01003029.1,19043
Contig2993,PTTO01002471.1,36650
Contig2994,PTTO01001953.1,14691
Contig2995,PTTO01001589.1,138985
Contig2996,PTTO01000151.1,51278
Contig2997,PTTO01000323.1,70094
Contig2998,PTTO01003654.1,112890
Contig2999,PTTO01002861.1,5755
Contig3,PTTO01001556.1,4115861
Contig30,PTTO01003644.1,304534
Contig300,PTTO01004411.1,166084
Contig3000,PTTO01004526.1,7496
Contig3001,PTTO01003840.1,66158
Contig3002,PTTO01003208.1,28225
Contig3003,PTTO01002554.1,34512
Contig3004,PTTO01001260.1,54029
Contig3005,PTTO01002943.1,346282
Contig3006,PTTO01000063.1,40735
Contig3007,PTTO01002220.1,121752
Contig3008,PTTO01003925.1,506201
Contig3009,PTTO01000950.1,137013
Contig301,PTTO01002728.1,146683
Contig3010,PTTO01000466.1,21338
Contig3011,PTTO01000991.1,1493
Contig3012,PTTO01002872.1,2798
Contig3013,PTTO01003653.1,27484
Contig3014,PTTO01001779.1,33732
Contig3015,PTTO01002671.1,60909
Contig3016,PTTO01001072.1,87852
Contig3017,PTTO01001433.1,51880
Contig3018,PTTO01004393.1,20678
Contig3019,PTTO01001880.1,15226
Contig302,PTTO01000982.1,1164088
Contig3020,PTTO01002435.1,65924
Contig3021,PTTO01002962.1,7461
Contig3022,PTTO01003451.1,11223
Contig3023,PTTO01004085.1,67961
Contig3024,PTTO01002010.1,30529
Contig3025,PTTO01000525.1,22169
Contig3026,PTTO01003189.1,12617
Contig3027,PTTO01001384.1,30650
Contig3028,PTTO01004044.1,27553
Contig3029,PTTO01002365.1,34849
Contig303,PTTO01003425.1,12325759
Contig3030,PTTO01003940.1,66451
Contig3031,PTTO01004487.1,19742
Contig3032,PTTO01001774.1,44188
Contig3033,PTTO01000018.1,34207
Contig3034,PTTO01003482.1,36125
Contig3035,PTTO01000809.1,53784
Contig3036,PTTO01004513.1,45550
Contig3037,PTTO01003852.1,72582
Contig3038,PTTO01001452.1,20087
Contig3039,PTTO01003391.1,60344
Contig304,PTTO01001718.1,174157
Contig3040,PTTO01002682.1,50142
Contig3041,PTTO01004518.1,18799
Contig3042,PTTO01001516.1,10282
Contig3043,PTTO01003182.1,21742
Contig3044,PTTO01001914.1,55099
Contig3045,PTTO01001280.1,18563
Contig3046,PTTO01000645.1,14005
Contig3047,PTTO01000029.1,47958
Contig3048,PTTO01001884.1,21000
Contig3049,PTTO01001374.1,4246
Contig305,PTTO01000247.1,31586
Contig3050,PTTO01003605.1,41187
Contig3051,PTTO01000686.1,8847
Contig3052,PTTO01002450.1,44202
Contig3053,PTTO01003811.1,12913
Contig3054,PTTO01000611.1,61892
Contig3055,PTTO01002134.1,38656
Contig3056,PTTO01003913.1,4940
Contig3057,PTTO01000818.1,169837
Contig3058,PTTO01003125.1,9406
Contig3059,PTTO01002576.1,35055
Contig306,PTTO01002409.1,2009771
Contig3060,PTTO01001454.1,43990
Contig3061,PTTO01000542.1,26867
Contig3062,PTTO01000072.1,45583
Contig3063,PTTO01004524.1,10974
Contig3064,PTTO01004026.1,10697
Contig3065,PTTO01003248.1,29293
Contig3066,PTTO01002719.1,27227
Contig3067,PTTO01000258.1,24903
Contig3068,PTTO01000601.1,19189
Contig3069,PTTO01003216.1,53288
Contig307,PTTO01002616.1,90037
Contig3070,PTTO01002623.1,50181
Contig3071,PTTO01004169.1,19195
Contig3072,PTTO01001235.1,2235
Contig3073,PTTO01002847.1,48067
Contig3074,PTTO01000513.1,31075
Contig3075,PTTO01000026.1,119119
Contig3076,PTTO01003794.1,10723
Contig3077,PTTO01001000.1,31775
Contig3078,PTTO01003205.1,5429
Contig3079,PTTO01002617.1,124002
Contig308,PTTO01004488.1,206526
Contig3080,PTTO01001005.1,39440
Contig3081,PTTO01003489.1,29369
Contig3082,PTTO01002088.1,227220
Contig3083,PTTO01000484.1,8172
Contig3084,PTTO01002448.1,61446
Contig3085,PTTO01001417.1,13789
Contig3086,PTTO01003513.1,86789
Contig3087,PTTO01004196.1,33564
Contig3088,PTTO01000425.1,28933
Contig3089,PTTO01001082.1,26817
Contig309,PTTO01003909.1,3291637
Contig3090,PTTO01000708.1,26410
Contig3091,PTTO01000022.1,53184
Contig3092,PTTO01002014.1,6132
Contig3093,PTTO01001376.1,73447
Contig3094,PTTO01003118.1,78776
Contig3095,PTTO01002574.1,30525
Contig3096,PTTO01004436.1,9594
Contig3097,PTTO01000600.1,25250
Contig3098,PTTO01000071.1,67980
Contig3099,PTTO01001869.1,44310
Contig31,PTTO01000875.1,32360133
Contig310,PTTO01003745.1,131313
Contig3100,PTTO01003289.1,26062
Contig3101,PTTO01000675.1,16559
Contig3102,PTTO01004370.1,44688
Contig3103,PTTO01001721.1,51882
Contig3104,PTTO01000197.1,3373017
Contig3105,PTTO01003321.1,1347790
Contig3106,PTTO01001188.1,9572
Contig3107,PTTO01003170.1,29123
Contig3108,PTTO01001310.1,18097
Contig3109,PTTO01004444.1,21898
Contig311,PTTO01000968.1,289460
Contig3110,PTTO01003984.1,48011
Contig3111,PTTO01000313.1,12533
Contig3112,PTTO01000706.1,30830
Contig3113,PTTO01003341.1,14410
Contig3114,PTTO01001428.1,38413
Contig3115,PTTO01002312.1,24820
Contig3116,PTTO01002655.1,26223
Contig3117,PTTO01004430.1,9582
Contig3118,PTTO01002324.1,28007
Contig3119,PTTO01000880.1,42677
Contig312,PTTO01001633.1,28810503
Contig3120,PTTO01000506.1,54501
Contig3121,PTTO01003269.1,18872
Contig3122,PTTO01003531.1,35466
Contig3123,PTTO01001360.1,70209
Contig3124,PTTO01001896.1,12780
Contig3125,PTTO01000929.1,84299
Contig3126,PTTO01000687.1,29462
Contig3127,PTTO01003687.1,106539
Contig3128,PTTO01004489.1,31931
Contig3129,PTTO01002379.1,49262
Contig313,PTTO01003282.1,392165
Contig3130,PTTO01002281.1,40225
Contig3131,PTTO01004304.1,8146
Contig3132,PTTO01003786.1,32116
Contig3133,PTTO01001522.1,43547
Contig3134,PTTO01000730.1,27062
Contig3135,PTTO01002460.1,11611
Contig3136,PTTO01001694.1,22828
Contig3137,PTTO01003975.1,40263
Contig3138,PTTO01003481.1,14669
Contig3139,PTTO01000449.1,19183
Contig314,PTTO01002929.1,264402
Contig3140,PTTO01000366.1,14207
Contig3141,PTTO01004095.1,9425
Contig3142,PTTO01003606.1,11735
Contig3143,PTTO01002802.1,16117
Contig3144,PTTO01002254.1,5661
Contig3145,PTTO01001565.1,1043265
Contig3146,PTTO01000961.1,20853
Contig3147,PTTO01000336.1,68597
Contig3148,PTTO01004250.1,53596
Contig3149,PTTO01003608.1,21819
Contig315,PTTO01002251.1,91708
Contig3150,PTTO01001221.1,32547
Contig3151,PTTO01000364.1,48278
Contig3152,PTTO01000840.1,31606
Contig3153,PTTO01002852.1,31915
Contig3154,PTTO01003525.1,772021
Contig3155,PTTO01002045.1,108021
Contig3156,PTTO01002376.1,9235
Contig3157,PTTO01001079.1,31415
Contig3158,PTTO01001389.1,41665
Contig3159,PTTO01003529.1,19542
Contig316,PTTO01004211.1,1099608
Contig3160,PTTO01003044.1,34243
Contig3161,PTTO01001398.1,10591
Contig3162,PTTO01002024.1,31267
Contig3163,PTTO01002378.1,87107
Contig3164,PTTO01003073.1,44773
Contig3165,PTTO01001414.1,3602
Contig3166,PTTO01002053.1,19857
Contig3167,PTTO01001730.1,47822
Contig3168,PTTO01001055.1,42049
Contig3169,PTTO01000722.1,12649
Contig317,PTTO01003557.1,426548
Contig3170,PTTO01004054.1,110645
Contig3171,PTTO01002439.1,18348
Contig3172,PTTO01003039.1,47988
Contig3173,PTTO01003526.1,64608
Contig3174,PTTO01004003.1,35513
Contig3175,PTTO01000099.1,8301
Contig3176,PTTO01000417.1,158312
Contig3177,PTTO01001103.1,31394
Contig3178,PTTO01003702.1,12860
Contig3179,PTTO01004394.1,58004
Contig318,PTTO01000903.1,50576
Contig3180,PTTO01001016.1,17029
Contig3181,PTTO01000227.1,14096
Contig3182,PTTO01001705.1,32101
Contig3183,PTTO01001832.1,4447
Contig3184,PTTO01001293.1,57179
Contig3185,PTTO01002796.1,40603
Contig3186,PTTO01004333.1,37094
Contig3187,PTTO01001363.1,13631
Contig3188,PTTO01003018.1,37447
Contig3189,PTTO01002504.1,11719
Contig319,PTTO01000276.1,13673526
Contig3190,PTTO01001959.1,46794
Contig3191,PTTO01001216.1,46643
Contig3192,PTTO01002991.1,28886
Contig3193,PTTO01003383.1,60190
Contig3194,PTTO01004027.1,7095
Contig3195,PTTO01004297.1,17081
Contig3196,PTTO01003853.1,64083
Contig3197,PTTO01003217.1,8304
Contig3198,PTTO01002381.1,34159
Contig3199,PTTO01004464.1,27055
Contig32,PTTO01002624.1,42633763
Contig320,PTTO01001881.1,113995
Contig3200,PTTO01000819.1,23377
Contig3201,PTTO01001671.1,718157
Contig3202,PTTO01004151.1,25246
Contig3203,PTTO01000365.1,20206
Contig3204,PTTO01002952.1,44033
Contig3205,PTTO01003459.1,6292
Contig3206,PTTO01001596.1,40913
Contig3207,PTTO01002310.1,73459
Contig3208,PTTO01000392.1,61989
Contig3209,PTTO01001059.1,7420
Contig321,PTTO01002327.1,209534
Contig3210,PTTO01002585.1,48419
Contig3211,PTTO01003128.1,102476
Contig3212,PTTO01001357.1,72166
Contig3213,PTTO01001408.1,82494
Contig3214,PTTO01000108.1,46929
Contig3215,PTTO01000714.1,22456
Contig3216,PTTO01002870.1,7374
Contig3217,PTTO01003523.1,43763
Contig3218,PTTO01002174.1,13074
Contig3219,PTTO01002790.1,14316
Contig322,PTTO01002712.1,76369
Contig3220,PTTO01001728.1,32255
Contig3221,PTTO01001613.1,24064
Contig3222,PTTO01001501.1,47081
Contig3223,PTTO01001008.1,7853
Contig3224,PTTO01004246.1,64720
Contig3225,PTTO01004310.1,4853
Contig3226,PTTO01003611.1,15299
Contig3227,PTTO01003083.1,89262
Contig3228,PTTO01002283.1,137762
Contig3229,PTTO01001707.1,71853
Contig323,PTTO01003386.1,529171
Contig3230,PTTO01003310.1,16493
Contig3231,PTTO01002940.1,56165
Contig3232,PTTO01002250.1,91584
Contig3233,PTTO01002888.1,11188
Contig3234,PTTO01003627.1,49875
Contig3235,PTTO01004149.1,27974
Contig3236,PTTO01000782.1,7722
Contig3237,PTTO01001422.1,43646
Contig3238,PTTO01002064.1,7594
Contig3239,PTTO01002687.1,43963
Contig324,PTTO01003703.1,37896
Contig3240,PTTO01003958.1,10114
Contig3241,PTTO01004467.1,11463
Contig3242,PTTO01002537.1,21810
Contig3243,PTTO01000716.1,26621
Contig3244,PTTO01000963.1,42338
Contig3245,PTTO01003898.1,104078
Contig3246,PTTO01004550.1,80149
Contig3247,PTTO01002267.1,15160
Contig3248,PTTO01002893.1,7639
Contig3249,PTTO01001246.1,31144
Contig325,PTTO01004335.1,397099
Contig3250,PTTO01004195.1,18025
Contig3251,PTTO01003483.1,32818
Contig3252,PTTO01000559.1,41880
Contig3253,PTTO01000498.1,32038
Contig3254,PTTO01002060.1,44733
Contig3255,PTTO01001399.1,78358
Contig3256,PTTO01003027.1,5973
Contig3257,PTTO01002510.1,61888
Contig3258,PTTO01004530.1,17714
Contig3259,PTTO01003411.1,47044
Contig326,PTTO01001237.1,90191
Contig3260,PTTO01003227.1,29821
Contig3261,PTTO01002528.1,36359
Contig3262,PTTO01002714.1,5565
Contig3263,PTTO01004404.1,39096
Contig3264,PTTO01000618.1,19838
Contig3265,PTTO01000990.1,9890
Contig3266,PTTO01000694.1,33457
Contig3267,PTTO01003480.1,61535
Contig3268,PTTO01000375.1,4592
Contig3269,PTTO01000873.1,883324
Contig327,PTTO01001748.1,283305
Contig3270,PTTO01000839.1,101741
Contig3271,PTTO01000361.1,25914
Contig3272,PTTO01003135.1,11435
Contig3273,PTTO01002622.1,39071
Contig3274,PTTO01004477.1,1589
Contig3275,PTTO01003948.1,369060
Contig3276,PTTO01000021.1,32436
Contig3277,PTTO01004061.1,19487
Contig3278,PTTO01001251.1,24659
Contig3279,PTTO01000902.1,51866
Contig328,PTTO01002694.1,295067
Contig3280,PTTO01001584.1,7465
Contig3281,PTTO01002036.1,47890
Contig3282,PTTO01003214.1,19585
Contig3283,PTTO01003677.1,29062
Contig3284,PTTO01004160.1,3389
Contig3285,PTTO01000126.1,50818
Contig3286,PTTO01001229.1,16384
Contig3287,PTTO01001267.1,52492
Contig3288,PTTO01001928.1,19490
Contig3289,PTTO01002570.1,21647
Contig329,PTTO01003342.1,499088
Contig3290,PTTO01003861.1,24829
Contig3291,PTTO01003141.1,44420
Contig3292,PTTO01003185.1,81341
Contig3293,PTTO01002636.1,67271
Contig3294,PTTO01001343.1,2939
Contig3295,PTTO01000565.1,11646
Contig3296,PTTO01004409.1,13142
Contig3297,PTTO01003904.1,31358
Contig3298,PTTO01003152.1,67001
Contig3299,PTTO01002612.1,24649
Contig33,PTTO01004497.1,1048824
Contig330,PTTO01002717.1,579730
Contig3300,PTTO01001787.1,109709
Contig3301,PTTO01000050.1,167123
Contig3302,PTTO01000491.1,32720
Contig3303,PTTO01000981.1,20103
Contig3304,PTTO01003759.1,4252
Contig3305,PTTO01003839.1,664625
Contig3306,PTTO01000965.1,32157
Contig3308,PTTO01003685.1,19336
Contig3309,PTTO01002958.1,15781
Contig331,PTTO01003385.1,151117
Contig3310,PTTO01001254.1,25169
Contig3311,PTTO01000659.1,24007224
Contig3312,PTTO01000040.1,2970
Contig3313,PTTO01002786.1,25981
Contig3314,PTTO01004458.1,41018
Contig3315,PTTO01002921.1,15387
Contig3316,PTTO01003647.1,37656
Contig3317,PTTO01001980.1,32931
Contig3318,PTTO01002584.1,24164
Contig3319,PTTO01001006.1,103773
Contig332,PTTO01004255.1,258523
Contig3320,PTTO01003099.1,30176
Contig3321,PTTO01000374.1,29870
Contig3322,PTTO01004319.1,44803
Contig3323,PTTO01001658.1,5636
Contig3324,PTTO01001045.1,33310
Contig3325,PTTO01002944.1,40764
Contig3326,PTTO01002241.1,6942
Contig3327,PTTO01004263.1,50332
Contig3328,PTTO01003634.1,55200
Contig3329,PTTO01002900.1,7081
Contig333,PTTO01000332.1,7714750
Contig3330,PTTO01003466.1,12346
Contig3331,PTTO01001426.1,52094
Contig3332,PTTO01000942.1,47599
Contig3333,PTTO01002431.1,55621
Contig3334,PTTO01001975.1,42295
Contig3335,PTTO01003469.1,23528
Contig3336,PTTO01002941.1,21970
Contig3337,PTTO01001021.1,107187
Contig3338,PTTO01000516.1,24119
Contig3339,PTTO01003496.1,17559
Contig334,PTTO01000765.1,32116745
Contig3340,PTTO01003540.1,48822
Contig3341,PTTO01001217.1,32710
Contig3342,PTTO01002903.1,69759
Contig3343,PTTO01002013.1,57938
Contig3344,PTTO01001890.1,17759
Contig3345,PTTO01003567.1,19509
Contig3346,PTTO01000738.1,82310
Contig3347,PTTO01002775.1,46435
Contig3348,PTTO01004016.1,36124
Contig3349,PTTO01001764.1,26282
Contig335,PTTO01001275.1,265863
Contig3350,PTTO01001290.1,17741
Contig3351,PTTO01004139.1,33113
Contig3352,PTTO01002594.1,49331
Contig3353,PTTO01000816.1,43988
Contig3354,PTTO01003891.1,10523
Contig3355,PTTO01001670.1,59408
Contig3356,PTTO01000068.1,30730
Contig3357,PTTO01002945.1,34318
Contig3358,PTTO01001299.1,180235
Contig3359,PTTO01003678.1,33141
Contig336,PTTO01001236.1,12935887
Contig3360,PTTO01000101.1,9105
Contig3361,PTTO01004227.1,7025
Contig3362,PTTO01003535.1,21976
Contig3363,PTTO01000896.1,83219
Contig3364,PTTO01000379.1,6431
Contig3365,PTTO01001506.1,21612
Contig3366,PTTO01003285.1,44202
Contig3367,PTTO01002782.1,22578
Contig3368,PTTO01002305.1,72724
Contig3369,PTTO01003476.1,37192
Contig337,PTTO01001722.1,4436979
Contig3370,PTTO01001125.1,28132
Contig3371,PTTO01000723.1,42565
Contig3372,PTTO01000248.1,20288
Contig3373,PTTO01001905.1,2704
Contig3374,PTTO01001344.1,6167
Contig3375,PTTO01001386.1,24391
Contig3376,PTTO01003070.1,21213
Contig3377,PTTO01002778.1,53465
Contig3378,PTTO01004460.1,51962
Contig3379,PTTO01003524.1,21807
Contig338,PTTO01003325.1,1278987
Contig3380,PTTO01001197.1,16532
Contig3381,PTTO01001819.1,19151
Contig3382,PTTO01002490.1,29233
Contig3383,PTTO01002569.1,4468
Contig3384,PTTO01003192.1,80096
Contig3385,PTTO01001309.1,43154
Contig3386,PTTO01001838.1,27081
Contig3387,PTTO01002082.1,2221
Contig3388,PTTO01002556.1,36235
Contig3389,PTTO01002824.1,41249
Contig339,PTTO01003825.1,37728
Contig3390,PTTO01000369.1,72363
Contig3391,PTTO01004331.1,138289
Contig3392,PTTO01003657.1,15785
Contig3393,PTTO01002992.1,19273
Contig3394,PTTO01002256.1,17213
Contig3395,PTTO01001746.1,12703
Contig3396,PTTO01001127.1,85644
Contig3397,PTTO01000801.1,31527
Contig3398,PTTO01000187.1,32019
Contig3399,PTTO01004419.1,30201
Contig34,PTTO01000230.1,16820818
Contig340,PTTO01003436.1,30066
Contig3400,PTTO01001369.1,179907
Contig3401,PTTO01003886.1,28083
Contig3402,PTTO01003234.1,30329
Contig3403,PTTO01000631.1,12717
Contig3404,PTTO01000045.1,29545
Contig3405,PTTO01001912.1,746090
Contig3406,PTTO01001277.1,13866
Contig3407,PTTO01003113.1,16940
Contig3408,PTTO01001909.1,46544
Contig3409,PTTO01004441.1,89319
Contig341,PTTO01003838.1,78193
Contig3410,PTTO01001154.1,16931
Contig3411,PTTO01003352.1,127973
Contig3412,PTTO01002697.1,9871
Contig3413,PTTO01004372.1,35890
Contig3414,PTTO01003749.1,115091
Contig3415,PTTO01000462.1,16334
Contig3416,PTTO01002195.1,34676
Contig3417,PTTO01002836.1,33740
Contig3418,PTTO01002321.1,29661
Contig3419,PTTO01002317.1,151153
Contig342,PTTO01002720.1,137185
Contig3420,PTTO01003350.1,9605
Contig3421,PTTO01000241.1,55406
Contig3422,PTTO01001845.1,21888
Contig3423,PTTO01002505.1,31123
Contig3424,PTTO01004183.1,37683
Contig3425,PTTO01001153.1,377980
Contig3426,PTTO01003362.1,35801
Contig3427,PTTO01002181.1,28556
Contig3428,PTTO01001536.1,12834
Contig343,PTTO01002744.1,128050
Contig3430,PTTO01000673.1,18563
Contig3431,PTTO01000214.1,118378
Contig3432,PTTO01001799.1,2018
Contig3433,PTTO01001603.1,11614
Contig3434,PTTO01002587.1,9200
Contig3435,PTTO01004405.1,22136
Contig3436,PTTO01000744.1,6203
Contig3437,PTTO01000161.1,53425
Contig3438,PTTO01000150.1,27013
Contig3439,PTTO01001766.1,4680
Contig344,PTTO01001180.1,353849
Contig3440,PTTO01003241.1,27974
Contig3441,PTTO01001898.1,19235
Contig3442,PTTO01004567.1,28336
Contig3443,PTTO01002592.1,24893
Contig3444,PTTO01000224.1,19727
Contig3445,PTTO01000684.1,35278
Contig3446,PTTO01001189.1,16739
Contig3447,PTTO01001680.1,30939
Contig3448,PTTO01002716.1,24379
Contig3449,PTTO01001203.1,43459
Contig345,PTTO01000663.1,242541
Contig3450,PTTO01001709.1,48312
Contig3451,PTTO01002176.1,7928
Contig3452,PTTO01000769.1,14109
Contig3453,PTTO01000146.1,36479
Contig3454,PTTO01003105.1,27481
Contig3455,PTTO01002382.1,40857
Contig3456,PTTO01002078.1,22273
Contig3457,PTTO01001479.1,19858
Contig3458,PTTO01000012.1,38975
Contig3459,PTTO01000478.1,30225
Contig346,PTTO01002332.1,2850001
Contig3460,PTTO01001301.1,21161
Contig3461,PTTO01002614.1,10812
Contig3462,PTTO01003174.1,55549
Contig3463,PTTO01003167.1,39349
Contig3464,PTTO01002541.1,98928
Contig3465,PTTO01000211.1,37617
Contig3466,PTTO01001801.1,50830
Contig3467,PTTO01003441.1,8413
Contig3468,PTTO01000551.1,7918
Contig3469,PTTO01002723.1,34327
Contig347,PTTO01004264.1,124553
Contig3470,PTTO01002492.1,15428
Contig3471,PTTO01002071.1,10394
Contig3472,PTTO01001571.1,1466750
Contig3473,PTTO01001093.1,28819
Contig3474,PTTO01001732.1,43031
Contig3475,PTTO01003484.1,28980
Contig3476,PTTO01000697.1,24352
Contig3477,PTTO01002477.1,5545
Contig3478,PTTO01004388.1,86872
Contig3479,PTTO01001563.1,80044
Contig348,PTTO01002047.1,110774
Contig3480,PTTO01003854.1,31374
Contig3481,PTTO01001809.1,33672
Contig3482,PTTO01002350.1,34247
Contig3483,PTTO01001504.1,67774
Contig3484,PTTO01001332.1,51894
Contig3485,PTTO01000528.1,131398
Contig3486,PTTO01000911.1,18707
Contig3487,PTTO01003488.1,29993
Contig3488,PTTO01003994.1,83467
Contig3489,PTTO01002499.1,16900
Contig349,PTTO01001401.1,156527
Contig3490,PTTO01000919.1,16000
Contig3491,PTTO01004184.1,17922
Contig3492,PTTO01000271.1,29836
Contig3493,PTTO01002898.1,13009
Contig3494,PTTO01003587.1,52906
Contig3495,PTTO01002274.1,28562
Contig3496,PTTO01002949.1,46115
Contig3497,PTTO01000892.1,41310
Contig3498,PTTO01001540.1,14946
Contig3499,PTTO01000263.1,37661
Contig35,PTTO01001678.1,14650962
Contig350,PTTO01004018.1,68318
Contig3500,PTTO01004072.1,9975
Contig3501,PTTO01000868.1,3099
Contig3502,PTTO01000410.1,8964
Contig3503,PTTO01000182.1,13089
Contig3504,PTTO01001390.1,14905
Contig3505,PTTO01001776.1,57853
Contig3506,PTTO01001151.1,39138
Contig3507,PTTO01003358.1,88024
Contig3508,PTTO01002713.1,213102
Contig3509,PTTO01003707.1,76782
Contig351,PTTO01002354.1,37828
Contig3510,PTTO01004447.1,30846
Contig3511,PTTO01003108.1,14289
Contig3512,PTTO01002278.1,43172
Contig3513,PTTO01001969.1,41343
Contig3514,PTTO01001460.1,29469
Contig3515,PTTO01001994.1,12405
Contig3516,PTTO01001464.1,59255
Contig3517,PTTO01001017.1,57169
Contig3518,PTTO01000428.1,100690
Contig3519,PTTO01003613.1,26270
Contig352,PTTO01000078.1,77344
Contig3520,PTTO01002383.1,32227
Contig3521,PTTO01002994.1,89981
Contig3522,PTTO01003422.1,3203802
Contig3523,PTTO01000523.1,109913
Contig3524,PTTO01001019.1,43667
Contig3525,PTTO01001474.1,2942
Contig3526,PTTO01001984.1,28289
Contig3527,PTTO01002478.1,6913
Contig3528,PTTO01003024.1,12247
Contig3529,PTTO01004134.1,42827
Contig353,PTTO01001940.1,25788033
Contig3530,PTTO01002420.1,30217
Contig3531,PTTO01003057.1,38084
Contig3532,PTTO01003510.1,58488
Contig3533,PTTO01000431.1,23075
Contig3534,PTTO01001068.1,42481
Contig3535,PTTO01001387.1,48726
Contig3536,PTTO01002101.1,59527
Contig3537,PTTO01002427.1,7587
Contig3538,PTTO01003074.1,24696
Contig3539,PTTO01003520.1,36203
Contig354,PTTO01004326.1,41417
Contig3540,PTTO01003453.1,15889
Contig3541,PTTO01004079.1,3982
Contig3542,PTTO01003204.1,35143
Contig3543,PTTO01003007.1,114825
Contig3544,PTTO01002222.1,26805
Contig3545,PTTO01000357.1,44776
Contig3546,PTTO01000648.1,66868
Contig3547,PTTO01003900.1,55078
Contig3548,PTTO01004244.1,28890
Contig3549,PTTO01002436.1,6351
Contig355,PTTO01003809.1,132348
Contig3550,PTTO01003896.1,21650
Contig3551,PTTO01004431.1,51004
Contig3552,PTTO01003239.1,31007
Contig3553,PTTO01001611.1,4135520
Contig3554,PTTO01001834.1,37332
Contig3555,PTTO01000386.1,6291
Contig3556,PTTO01003585.1,41798
Contig3557,PTTO01004249.1,23803
Contig3558,PTTO01004533.1,94368
Contig3559,PTTO01002810.1,27441
Contig356,PTTO01002573.1,89395
Contig3560,PTTO01001844.1,13031
Contig3561,PTTO01001359.1,22283
Contig3562,PTTO01000624.1,76442
Contig3563,PTTO01000095.1,32626
Contig3564,PTTO01002752.1,23115
Contig3565,PTTO01004470.1,9253
Contig3566,PTTO01001215.1,42399
Contig3567,PTTO01002853.1,45899
Contig3568,PTTO01000754.1,48364
Contig3569,PTTO01000180.1,6473
Contig357,PTTO01004448.1,155292
Contig3570,PTTO01003507.1,9099
Contig3571,PTTO01003998.1,10423
Contig3572,PTTO01003035.1,31952
Contig3573,PTTO01001253.1,24764
Contig3574,PTTO01002018.1,12140
Contig3575,PTTO01000391.1,18703
Contig3576,PTTO01003735.1,34534
Contig3577,PTTO01004401.1,13936
Contig3578,PTTO01002708.1,31507
Contig3579,PTTO01003366.1,19804
Contig358,PTTO01001610.1,3111205
Contig3580,PTTO01002662.1,58894
Contig3581,PTTO01004068.1,20739
Contig3582,PTTO01003713.1,2981
Contig3583,PTTO01000886.1,37237
Contig3584,PTTO01000238.1,8435
Contig3585,PTTO01001413.1,13934
Contig3586,PTTO01001220.1,92432
Contig3587,PTTO01002562.1,49158
Contig3588,PTTO01004538.1,8640
Contig3589,PTTO01003844.1,38848
Contig359,PTTO01002820.1,1249350
Contig3590,PTTO01003736.1,53599
Contig3591,PTTO01004383.1,221597
Contig3592,PTTO01002889.1,39289
Contig3593,PTTO01003264.1,12944
Contig3594,PTTO01001714.1,46970
Contig3595,PTTO01000113.1,22970
Contig3596,PTTO01000854.1,43967
Contig3597,PTTO01003649.1,115079
Contig3598,PTTO01004502.1,54178
Contig3599,PTTO01002769.1,37979
Contig36,PTTO01003479.1,444754
Contig360,PTTO01000289.1,90569
Contig3600,PTTO01003590.1,44215
Contig3601,PTTO01000225.1,21513
Contig3602,PTTO01000933.1,23268
Contig3603,PTTO01001200.1,91202
Contig3604,PTTO01001699.1,30634
Contig3605,PTTO01002664.1,39129
Contig3606,PTTO01002330.1,33875
Contig3607,PTTO01003699.1,42637
Contig3608,PTTO01004283.1,7987
Contig3609,PTTO01004124.1,15695
Contig361,PTTO01000852.1,35915
Contig3610,PTTO01001599.1,107407
Contig3611,PTTO01001765.1,21640
Contig3612,PTTO01002253.1,36529
Contig3613,PTTO01002543.1,57505
Contig3614,PTTO01003615.1,116218
Contig3615,PTTO01003848.1,43796
Contig3616,PTTO01004380.1,25423
Contig3617,PTTO01000097.1,134261
Contig3618,PTTO01001095.1,16908
Contig3619,PTTO01001134.1,9293
Contig362,PTTO01004116.1,2206929
Contig3620,PTTO01003532.1,49840
Contig3621,PTTO01000657.1,41523
Contig3622,PTTO01002229.1,14928
Contig3623,PTTO01000303.1,43574
Contig3624,PTTO01000927.1,11048
Contig3625,PTTO01003232.1,67975
Contig3626,PTTO01003591.1,25254
Contig3627,PTTO01001927.1,32068
Contig3628,PTTO01002328.1,14090
Contig3629,PTTO01000076.1,24321
Contig363,PTTO01000348.1,289346
Contig3630,PTTO01001549.1,43982
Contig3631,PTTO01004069.1,18047
Contig3632,PTTO01002243.1,20898
Contig3633,PTTO01003562.1,33381
Contig3634,PTTO01004205.1,23881
Contig3635,PTTO01000924.1,17929
Contig3636,PTTO01003846.1,59291
Contig3637,PTTO01001532.1,53454
Contig3638,PTTO01002173.1,11805
Contig3639,PTTO01002276.1,21895
Contig364,PTTO01002822.1,10725200
Contig3640,PTTO01003319.1,43302
Contig3641,PTTO01001988.1,60505
Contig3642,PTTO01001619.1,32671
Contig3643,PTTO01000668.1,41223
Contig3644,PTTO01000270.1,20635
Contig3645,PTTO01004241.1,18410
Contig3646,PTTO01003609.1,124310
Contig3647,PTTO01001560.1,10725
Contig3648,PTTO01002316.1,32191
Contig3649,PTTO01000279.1,38632
Contig365,PTTO01003440.1,109770
Contig3650,PTTO01003207.1,9997
Contig3651,PTTO01000096.1,142024
Contig3652,PTTO01002196.1,24136
